Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MIR802","MicroRNA 802","RNA Gene","","18","GC21P035720","6.70031309127808","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR802"
"MIR135A2","MicroRNA 135a-2","RNA Gene","","17","GC12P097563","6.69945812225342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR135A2"
"MIR642B","MicroRNA 642b","RNA Gene","","14","GC19M045674","6.69945812225342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR642B"
"MIR4739","MicroRNA 4739","RNA Gene","","11","GC17M079707","6.69132137298584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4739"
"MIR4458","MicroRNA 4458","RNA Gene","","11","GC05P008460","6.69073343276978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4458"
"MIR1260B","MicroRNA 1260b","RNA Gene","","17","GC11P096341","6.68766784667969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1260B"
"MIR664B","MicroRNA 664b","RNA Gene","","12","GC0XP154768","6.6865611076355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR664B"
"MIR762","MicroRNA 762","RNA Gene","","16","GC16P030893","6.68506717681885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR762"
"MIR1268A","MicroRNA 1268a","RNA Gene","","11","GC15M022225","6.68457937240601","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1268A"
"MIR1277","MicroRNA 1277","RNA Gene","","15","GC0XP118386","6.68070507049561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1277"
"MIR499B","MicroRNA 499b","RNA Gene","","10","GC20M034990","6.66866970062256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR499B"
"MIR1296","MicroRNA 1296","RNA Gene","","18","GC10M063372","6.65466070175171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1296"
"MIR938","MicroRNA 938","RNA Gene","","15","GC10M034990","6.6504921913147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR938"
"AGO4","Argonaute RISC Component 4","Protein Coding","Q9HCK5","39","GC01P035807","6.64751863479614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGO4"
"MIR651","MicroRNA 651","RNA Gene","","17","GC0XP008127","6.62451887130737","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR651"
"MIR384","MicroRNA 384","RNA Gene","","11","GC0XM076919","6.61256790161133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR384"
"MIR3135B","MicroRNA 3135b","RNA Gene","","11","GC06M032749","6.60858058929443","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3135B"
"TUG1","Taurine Up-Regulated 1","Protein Coding","A0A6I8PU40","26","GC22P030969","6.60836410522461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1"
"AGO3","Argonaute RISC Catalytic Component 3","Protein Coding","Q9H9G7","41","GC01P035930","6.60807085037231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGO3"
"MIR376A1","MicroRNA 376a-1","RNA Gene","","16","GC14P114450","6.60584211349487","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR376A1"
"MIR621","MicroRNA 621","RNA Gene","","15","GC13P040810","6.59775066375732","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR621"
"MIR585","MicroRNA 585","RNA Gene","","14","GC05M169263","6.59759855270386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR585"
"MIR5100","MicroRNA 5100","RNA Gene","","13","GC10P043898","6.59497404098511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR5100"
"MIR640","MicroRNA 640","RNA Gene","","15","GC19P019435","6.58680391311646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR640"
"MIR4741","MicroRNA 4741","RNA Gene","","13","GC18P022933","6.58330488204956","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4741"
"MIR519A2","MicroRNA 519a-2","RNA Gene","","14","GC19P053762","6.57571220397949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR519A2"
"MIR3200","MicroRNA 3200","RNA Gene","","16","GC22P030731","6.57474756240845","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3200"
"MIR323B","MicroRNA 323b","RNA Gene","","17","GC14P114445","6.57318782806396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR323B"
"MIR509-3","MicroRNA 509-3","RNA Gene","","15","GC0XM147259","6.57178401947021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR509-3"
"MIR876","MicroRNA 876","RNA Gene","","18","GC09M029115","6.56873798370361","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR876"
"MIR632","MicroRNA 632","RNA Gene","","15","GC17P032350","6.56855344772339","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR632"
"MIR4497","MicroRNA 4497","RNA Gene","","14","GC12P109833","6.55797958374023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4497"
"MIR544A","MicroRNA 544a","RNA Gene","","16","GC14P114474","6.55340719223022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR544A"
"MIR4326","MicroRNA 4326","RNA Gene","","11","GC20P063286","6.53981304168701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4326"
"MIR7704","MicroRNA 7704","RNA Gene","","10","GC02P176327","6.53981304168701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7704"
"MIR105-2","MicroRNA 105-2","RNA Gene","","16","GC0XM152394","6.53280925750732","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR105-2"
"MIR1468","MicroRNA 1468","RNA Gene","","17","GC0XM063786","6.52189779281616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1468"
"MIR4505","MicroRNA 4505","RNA Gene","","15","GC14P073758","6.51910591125488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4505"
"MIR300","MicroRNA 300","RNA Gene","","16","GC14P114443","6.51781272888184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR300"
"MIR4324","MicroRNA 4324","RNA Gene","","14","GC19M049308","6.51693964004517","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4324"
"MIR564","MicroRNA 564","RNA Gene","","15","GC03P054771","6.5090446472168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR564"
"MIR1283-1","MicroRNA 1283-1","RNA Gene","","16","GC19P053688","6.50575256347656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1283-1"
"MIR3175","MicroRNA 3175","RNA Gene","","16","GC15P092904","6.50432682037354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3175"
"MIR579","MicroRNA 579","RNA Gene","","16","GC05M032431","6.50432682037354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR579"
"MIR604","MicroRNA 604","RNA Gene","","18","GC10M029545","6.50430107116699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR604"
"ZC3H12A","Zinc Finger CCCH-Type Containing 12A","Protein Coding","Q5D1E8","42","GC01P037474","6.50381135940552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3H12A"
"MIR541","MicroRNA 541","RNA Gene","","20","GC14P114473","6.50098085403442","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR541"
"MIR934","MicroRNA 934","RNA Gene","","15","GC0XP136550","6.49556016921997","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR934"
"MIR937","MicroRNA 937","RNA Gene","","16","GC08M143812","6.49474287033081","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR937"
"MIR4488","MicroRNA 4488","RNA Gene","","15","GC11P061508","6.4918794631958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4488"
"MIR887","MicroRNA 887","RNA Gene","","17","GC05P015935","6.48838043212891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR887"
"MIR517C","MicroRNA 517c","RNA Gene","","18","GC19P096577","6.48673963546753","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR517C"
"MIR935","MicroRNA 935","RNA Gene","","17","GC19P096586","6.480224609375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR935"
"MIR3127","MicroRNA 3127","RNA Gene","","16","GC02P096798","6.4709267616272","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3127"
"MIR3128","MicroRNA 3128","RNA Gene","","14","GC02M177255","6.4699559211731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3128"
"MIR4706","MicroRNA 4706","RNA Gene","","13","GC14P065044","6.46558094024658","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4706"
"MIR653","MicroRNA 653","RNA Gene","","17","GC07M093482","6.4654803276062","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR653"
"MIR518A2","MicroRNA 518a-2","RNA Gene","","16","GC19P053739","6.4555196762085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR518A2"
"TMX2-CTNND1","TMX2-CTNND1 Readthrough (NMD Candidate)","RNA Gene","","17","GC11P057712","6.45361852645874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1"
"MIR1303","MicroRNA 1303","RNA Gene","","16","GC05P154685","6.44789457321167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1303"
"MIR1915","MicroRNA 1915","RNA Gene","","17","GC10M021496","6.4436731338501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1915"
"MIR378F","MicroRNA 378f","RNA Gene","","11","GC01P023929","6.44342565536499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR378F"
"MIR103B1","MicroRNA 103b-1","RNA Gene","","10","GC05P168560","6.4404034614563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR103B1"
"MIR891A","MicroRNA 891a","RNA Gene","","13","GC0XM146027","6.44037342071533","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR891A"
"MIR521-1","MicroRNA 521-1","RNA Gene","","18","GC19P053748","6.43931436538696","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR521-1"
"MIR3162","MicroRNA 3162","RNA Gene","","12","GC11M059595","6.43893718719482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3162"
"MIR1299","MicroRNA 1299","RNA Gene","","14","GC09M040929","6.43599033355713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1299"
"MIR3609","MicroRNA 3609","RNA Gene","","15","GC07P098881","6.4354362487793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3609"
"MIR519A1","MicroRNA 519a-1","RNA Gene","","16","GC19P053752","6.41977500915527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR519A1"
"MIR636","MicroRNA 636","RNA Gene","","16","GC17M076736","6.41831493377686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR636"
"MIR450A1","MicroRNA 450a-1","RNA Gene","","16","GC0XM134633","6.41455030441284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR450A1"
"FMR1","Fragile X Messenger Ribonucleoprotein 1","Protein Coding","Q06787","48","GC0XP147989","6.40728712081909","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMR1"
"MIR3661","MicroRNA 3661","RNA Gene","","17","GC05P134225","6.40400695800781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3661"
"MIR320B2","MicroRNA 320b-2","RNA Gene","","15","GC01M224257","6.40400695800781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320B2"
"MIR548AA1","MicroRNA 548aa-1","RNA Gene","","16","GC08P123348","6.39978456497192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR548AA1"
"MIR1249","MicroRNA 1249","RNA Gene","","19","GC22M045200","6.39949464797974","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1249"
"MIR593","MicroRNA 593","RNA Gene","","15","GC07P128081","6.39833688735962","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR593"
"MIR3909","MicroRNA 3909","RNA Gene","","16","GC22P035335","6.39429950714111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3909"
"MIR1237","MicroRNA 1237","RNA Gene","","17","GC11P064368","6.39333343505859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1237"
"MIR563","MicroRNA 563","RNA Gene","","15","GC03P015873","6.39126300811768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR563"
"MIR598","MicroRNA 598","RNA Gene","","17","GC08M011035","6.389000415802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR598"
"MIR525","MicroRNA 525","RNA Gene","","17","GC19P053697","6.38794708251953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR525"
"MIR550A1","MicroRNA 550a-1","RNA Gene","","18","GC07P030289","6.38074541091919","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR550A1"
"PUM1","Pumilio RNA Binding Family Member 1","Protein Coding","Q14671","45","GC01M030931","6.37194156646729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUM1"
"METTL1","Methyltransferase 1, TRNA Methylguanosine","Protein Coding","Q9UBP6","46","GC12M057768","6.36907196044922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL1"
"MIR512-1","MicroRNA 512-1","RNA Gene","","17","GC19P096566","6.35777759552002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR512-1"
"MIR875","MicroRNA 875","RNA Gene","","16","GC08M099538","6.35678958892822","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR875"
"MIR558","MicroRNA 558","RNA Gene","","15","GC02P032790","6.35308074951172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR558"
"MIR3194","MicroRNA 3194","RNA Gene","","15","GC20M051452","6.34957790374756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3194"
"MIR510","MicroRNA 510","RNA Gene","","15","GC0XM147272","6.34957790374756","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR510"
"MIR3605","MicroRNA 3605","RNA Gene","","14","GC01M033332","6.34557867050171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3605"
"MIR4732","MicroRNA 4732","RNA Gene","","14","GC17M067448","6.34463691711426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4732"
"MIR583","MicroRNA 583","RNA Gene","","16","GC05P096079","6.34356451034546","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR583"
"MIR3940","MicroRNA 3940","RNA Gene","","14","GC19M016785","6.34148263931274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3940"
"MIR661","MicroRNA 661","RNA Gene","","18","GC08M143945","6.33718109130859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR661"
"MIR657","MicroRNA 657","RNA Gene","","16","GC17M081125","6.33718109130859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR657"
"MIR3934","MicroRNA 3934","RNA Gene","","16","GC06P119013","6.32965564727783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3934"
"MIR4772","MicroRNA 4772","RNA Gene","","15","GC02P102432","6.32910442352295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4772"
"MIR1972-1","MicroRNA 1972-1","RNA Gene","","13","GC16M017011","6.32680988311768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1972-1"
"MIR1294","MicroRNA 1294","RNA Gene","","14","GC05P154347","6.31916522979736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1294"
"MIR5703","MicroRNA 5703","RNA Gene","","12","GC02P227472","6.31442451477051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR5703"
"MIR552","MicroRNA 552","RNA Gene","","16","GC01M034669","6.31207370758057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR552"
"MIR936","MicroRNA 936","RNA Gene","","18","GC10M104048","6.30861043930054","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR936"
"MIR4746","MicroRNA 4746","RNA Gene","","14","GC19P094914","6.3036470413208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4746"
"MIR618","MicroRNA 618","RNA Gene","","16","GC12M080935","6.30183410644531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR618"
"MIR639","MicroRNA 639","RNA Gene","","16","GC19P014529","6.29147577285767","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR639"
"MIR1266","MicroRNA 1266","RNA Gene","","17","GC15M142168","6.29111433029175","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1266"
"MIR570","MicroRNA 570","RNA Gene","","17","GC03P197318","6.28680992126465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR570"
"MIR581","MicroRNA 581","RNA Gene","","14","GC05M053951","6.28440380096436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR581"
"MIR603","MicroRNA 603","RNA Gene","","14","GC10P024275","6.27814912796021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR603"
"MIR602","MicroRNA 602","RNA Gene","","13","GC09P137838","6.27511119842529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR602"
"MIR1253","MicroRNA 1253","RNA Gene","","12","GC17M002748","6.27038717269897","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1253"
"MIR1185-1","MicroRNA 1185-1","RNA Gene","","19","GC14P114436","6.26572275161743","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1185-1"
"MIR153-1","MicroRNA 153-1","RNA Gene","","16","GC02M219294","6.26570987701416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR153-1"
"MIR374C","MicroRNA 374c","RNA Gene","","12","GC0XP074218","6.26503419876099","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR374C"
"MIR3960","MicroRNA 3960","RNA Gene","","14","GC09P132807","6.25622749328613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3960"
"MIR4466","MicroRNA 4466","RNA Gene","","16","GC06M156779","6.2556037902832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4466"
"MIR718","MicroRNA 718","RNA Gene","","15","GC0XM154019","6.24878120422363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR718"
"MIR3679","MicroRNA 3679","RNA Gene","","14","GC02P134127","6.24726152420044","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3679"
"MIR626","MicroRNA 626","RNA Gene","","16","GC15P041691","6.24327993392944","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR626"
"MIR5010","MicroRNA 5010","RNA Gene","","15","GC17P042514","6.24070262908936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR5010"
"MIR378I","MicroRNA 378i","RNA Gene","","16","GC22M072672","6.23568153381348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR378I"
"MIR600","MicroRNA 600","RNA Gene","","16","GC09M123111","6.23218822479248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR600"
"LIN28B","Lin-28 Homolog B","Protein Coding","Q6ZN17","46","GC06P119784","6.22994613647461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIN28B"
"MIR302E","MicroRNA 302e","RNA Gene","","12","GC11P007234","6.22685146331787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR302E"
"MIR559","MicroRNA 559","RNA Gene","","15","GC02P047377","6.22555637359619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR559"
"MIR1229","MicroRNA 1229","RNA Gene","","15","GC05M179798","6.22461938858032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1229"
"MIR1297","MicroRNA 1297","RNA Gene","","13","GC13M054311","6.22461938858032","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1297"
"MIR3928","MicroRNA 3928","RNA Gene","","13","GC22M031160","6.22433757781982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3928"
"MIR607","MicroRNA 607","RNA Gene","","15","GC10M096828","6.21340036392212","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR607"
"MIR378E","MicroRNA 378e","RNA Gene","","14","GC05P170028","6.20595979690552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR378E"
"MIR647","MicroRNA 647","RNA Gene","","15","GC20M063942","6.20145654678345","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR647"
"MIR516B1","MicroRNA 516b-1","RNA Gene","","17","GC19P053736","6.19213533401489","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR516B1"
"MIR518F","MicroRNA 518f","RNA Gene","","19","GC19P096569","6.19059038162231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR518F"
"MIR380","MicroRNA 380","RNA Gene","","16","GC14P114456","6.18386936187744","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR380"
"MIR151B","MicroRNA 151b","RNA Gene","","14","GC14M100109","6.18386936187744","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR151B"
"MIR619","MicroRNA 619","RNA Gene","","17","GC12M108836","6.1832480430603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR619"
"MIR3130-2","MicroRNA 3130-2","RNA Gene","","14","GC02P206783","6.17851638793945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3130-2"
"MIR3682","MicroRNA 3682","RNA Gene","","13","GC02M053849","6.17313003540039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3682"
"MIR1234","MicroRNA 1234","RNA Gene","","13","GC08M146345","6.17292070388794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1234"
"MIR4689","MicroRNA 4689","RNA Gene","","11","GC01M005862","6.16786670684814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4689"
"MIR3130-1","MicroRNA 3130-1","RNA Gene","","13","GC02M206783","6.16770935058594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3130-1"
"MIR549A","MicroRNA 549a","RNA Gene","","14","GC15M080841","6.16496419906616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR549A"
"MIR3619","MicroRNA 3619","RNA Gene","","15","GC22P046091","6.15610408782959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3619"
"MIR3187","MicroRNA 3187","RNA Gene","","14","GC19P000813","6.14847278594971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3187"
"MIR662","MicroRNA 662","RNA Gene","","16","GC16P059756","6.14448356628418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR662"
"MIR588","MicroRNA 588","RNA Gene","","14","GC06P126484","6.1437029838562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR588"
"MIR4734","MicroRNA 4734","RNA Gene","","14","GC17M038702","6.13854598999023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4734"
"MIR320C2","MicroRNA 320c-2","RNA Gene","","14","GC18P024321","6.13405132293701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320C2"
"MIR509-2","MicroRNA 509-2","RNA Gene","","13","GC0XM147258","6.12844228744507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR509-2"
"MIR643","MicroRNA 643","RNA Gene","","16","GC19P052281","6.12470006942749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR643"
"MIR4446","MicroRNA 4446","RNA Gene","","14","GC03P113594","6.12336587905884","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4446"
"MIR4687","MicroRNA 4687","RNA Gene","","15","GC11P003856","6.11826038360596","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4687"
"MIR3173","MicroRNA 3173","RNA Gene","","16","GC14M095137","6.11820077896118","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3173"
"MIR1236","MicroRNA 1236","RNA Gene","","16","GC06M087229","6.11615419387817","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1236"
"MIR616","MicroRNA 616","RNA Gene","","20","GC12M057519","6.11174726486206","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR616"
"MIR4476","MicroRNA 4476","RNA Gene","","14","GC09M036996","6.10796165466309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4476"
"MIR7977","MicroRNA 7977","RNA Gene","","10","GC03P176515","6.10699558258057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7977"
"SOD2-OT1","SOD2 Overlapping Transcript 1","RNA Gene","","13","GC06M159772","6.1013355255127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1"
"MIR527","MicroRNA 527","RNA Gene","","15","GC19P053754","6.09855222702026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR527"
"MIR4707","MicroRNA 4707","RNA Gene","","15","GC14M026146","6.08842277526855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4707"
"MIR378D1","MicroRNA 378d-1","RNA Gene","","11","GC04M005923","6.08842277526855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR378D1"
"MIR513A2","MicroRNA 513a-2","RNA Gene","","14","GC0XM147225","6.08781337738037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR513A2"
"MIR548AA2","MicroRNA 548aa-2","RNA Gene","","15","GC17P067471","6.08717203140259","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR548AA2"
"MIR219B","MicroRNA 219b","RNA Gene","","14","GC09P135835","6.08556604385376","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR219B"
"MIR1910","MicroRNA 1910","RNA Gene","","14","GC16M085742","6.08167886734009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1910"
"MIR1914","MicroRNA 1914","RNA Gene","","15","GC20M063941","6.0763258934021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1914"
"MIR548A2","MicroRNA 548a-2","RNA Gene","","14","GC06P135239","6.07093954086304","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR548A2"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","13","GC08P056096","6.06990957260132","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"MIR623","MicroRNA 623","RNA Gene","","14","GC13P099356","6.06949234008789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR623"
"MIR634","MicroRNA 634","RNA Gene","","15","GC17P066787","6.06470155715942","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR634"
"MIR4767","MicroRNA 4767","RNA Gene","","15","GC0XP007148","6.06341171264648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4767"
"MIR3141","MicroRNA 3141","RNA Gene","","12","GC05M154596","6.06006288528442","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3141"
"MIR567","MicroRNA 567","RNA Gene","","17","GC03P112113","6.05736589431763","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR567"
"MIR892B","MicroRNA 892b","RNA Gene","","12","GC0XM146129","6.05735874176025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR892B"
"MIR3150B","MicroRNA 3150b","RNA Gene","","15","GC08M095072","6.05457162857056","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3150B"
"MIR648","MicroRNA 648","RNA Gene","","16","GC22M017980","6.05159759521484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR648"
"MIR5196","MicroRNA 5196","RNA Gene","","14","GC19P095850","6.04457187652588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR5196"
"MIR1178","MicroRNA 1178","RNA Gene","","15","GC12M119713","6.02839660644531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1178"
