Name	        Accession	RPM	Chrmsm	Start	          End	      Strand Confidence
hsa-mir-623	MI0003637	0	chr13	99356131	99356228	+	-
hsa-mir-624	MI0003638	100	chr14	31014646	31014742	-	-
hsa-mir-625	MI0003639	196	chr14	65471102	65471186	+	High
hsa-mir-626	MI0003640	0	chr15	41691585	41691678	+	-
hsa-mir-627	MI0003641	103	chr15	42199570	42199666	-	High
hsa-mir-628	MI0003642	81	chr15	55372940	55373034	-	-
hsa-mir-629	MI0003643	324	chr15	70079372	70079468	-	High
hsa-mir-630	MI0003644	11650	chr15	72587217	72587313	+	-
hsa-mir-631	MI0003645	0	chr15	75353611	75353685	-	-
hsa-mir-33b	MI0003646	221	chr17	17813836	17813931	-	High
hsa-mir-632	MI0003647	56	chr17	32350109	32350202	+	-
hsa-mir-633	MI0003648	0	chr17	62944215	62944312	+	-
hsa-mir-634	MI0003649	3	chr17	66787072	66787168	+	-
hsa-mir-635	MI0003650	0	chr17	68424451	68424548	-	-
hsa-mir-636	MI0003651	19	chr17	76736450	76736548	-	-
hsa-mir-637	MI0003652	0	chr19	3961414	         3961512	-	-
hsa-mir-638	MI0003653	0	chr19	10718404	10718503	+	-
hsa-mir-639	MI0003654	220	chr19	14529543	14529640	+	-
hsa-mir-640	MI0003655	1	chr19	19435063	19435158	+	-
hsa-mir-641	MI0003656	167	chr19	40282543	40282641	-	-
hsa-mir-642a	MI0003657	75	chr19	45674928	45675024	+	High
hsa-mir-643	MI0003658	3288	chr19	52281797	52281893	+	High
hsa-mir-644a	MI0003659	2	chr20	34466325	34466418	+	-
hsa-mir-645	MI0003660	1	chr20	50585786	50585879	+	-
hsa-mir-646	MI0003661	0	chr20	60308474	60308567	+	-
hsa-mir-647	MI0003662	0	chr20	63942631	63942726	-	-
hsa-mir-648	MI0003663	1	chr22	17980868	17980961	-	-
hsa-mir-649	MI0003664	0	chr22	21034176	21034272	-	-
hsa-mir-650	MI0003665	16	chr22	22822776	22822871	+	-
hsa-mir-651	MI0003666	90	chrX	8126965	         8127061	+	High
hsa-mir-652	MI0003667	420	chrX	110055329	110055426	+	High
hsa-mir-548d-1	MI0003668	205	chr8	123348034	123348130	-	High
hsa-mir-661	MI0003669	0	chr8	143945191	143945279	-	-
hsa-mir-662	MI0003670	1	chr16	770183	          770277	+	-
hsa-mir-548d-2	MI0003671	206	chr17	67471489	67471585	-	High
hsa-mir-663a	MI0003672	493	chr20	26208186	26208278	-	Low
hsa-mir-449b	MI0003673	514	chr5	55170646	55170742	-	High
hsa-mir-653	MI0003674	29	chr7	93482760	93482855	-	High
hsa-mir-411	MI0003675	140	chr14	101023325	101023420	+	High
hsa-mir-654	MI0003676	83	chr14	101040219	101040299	+	High
hsa-mir-655	MI0003677	45	chr14	101049550	101049646	+	High
hsa-mir-656	MI0003678	21	chr14	101066724	101066801	+	High
hsa-mir-549a	MI0003679	48	chr15	80841978	80842073	-	-
hsa-mir-657	MI0003681	9	chr17	81125276	81125373	-	-
hsa-mir-658	MI0003682	7	chr22	37844272	37844371	-	-
hsa-mir-659	MI0003683	35	chr22	37847678	37847774	-	High
hsa-mir-660	MI0003684	550	chrX	50013241	50013337	+	High
hsa-mir-421	MI0003685	455	chrX	74218377	74218461	-	High
hsa-mir-542	MI0003686	402	chrX	134541341	134541437	-	High
hsa-mir-758	MI0003757	57	chr14	101026020	101026107	+	High
hsa-mir-1264	MI0003758	3	chrX	114652655	114652723	+	-
hsa-mir-671	MI0003760	373	chr7	151238421	151238538	+	High
hsa-mir-668	MI0003761	12	chr14	101055258	101055323	+	-
hsa-mir-550a-3	MI0003762	198	chr7	29680734	29680828	-	High
hsa-mir-767	MI0003763	325	chrX	152393421	152393529	-	High
hsa-mir-1224	MI0003764	77	chr3	184241405	184241489	+	Low
hsa-mir-151b	MI0003772	878	chr14	100109419	100109514	-	-
hsa-mir-320b-1	MI0003776	3648	chr1	116671746	116671817	+	-
hsa-mir-320c-1	MI0003778	2360	chr18	21683518	21683589	+	-
hsa-mir-1296	MI0003780	123	chr10	63372957	63373048	-	High
hsa-mir-1468	MI0003782	16	chrX	63786002	63786087	-	-
hsa-mir-1323	MI0003786	81	chr19	53671968	53672040	+	-
hsa-mir-1271	MI0003814	246	chr5	176367946	176368031	+	High
hsa-mir-1301	MI0003815	206	chr2	25328640	25328721	-	High
hsa-mir-454	MI0003820	604	chr17	59137758	59137872	-	High
hsa-mir-1185-2	MI0003821	50	chr14	101044198	101044283	+	High
hsa-mir-449c	MI0003823	35	chr5	55172262	55172353	-	High
hsa-mir-1283-1	MI0003832	979	chr19	53688481	53688567	+	-
hsa-mir-769	MI0003834	191	chr19	46018932	46019049	+	High
hsa-mir-766	MI0003836	101	chrX	119646738	119646848	-	High
hsa-mir-320b-2	MI0003839	3661	chr1	224257040	224257110	-	-
hsa-mir-378d-2	MI0003840	3410	chr8	93916022	93916119	-	-
hsa-mir-1185-1	MI0003844	62	chr14	101042977	101043062	+	High
hsa-mir-762	MI0003892	0	chr16	30893903	30893985	+	-
hsa-mir-802	MI0003906	1122	chr21	35720715	35720808	+	-
hsa-mir-670	MI0003933	19	chr11	43559656	43559753	+	-
hsa-mir-1298	MI0003938	28	chrX	114715233	114715344	+	High
hsa-mir-2113	MI0003939	2	chr6	98024531	98024621	+	-
hsa-mir-761	MI0003941	1	chr1	51836344	51836402	-	-
hsa-mir-764	MI0003944	0	chrX	114639435	114639519	+	-
hsa-mir-759	MI0004065	0	chr13	52810050	52810140	+	-
hsa-mir-765	MI0005116	53	chr1	156936131	156936244	-	-
hsa-mir-770	MI0005118	10	chr14	100852390	100852487	+	-
hsa-mir-675	MI0005416	141	chr11	1996759	         1996831	-	High
hsa-mir-298	MI0005523	0	chr20	58818226	58818313	-	-
hsa-mir-891a	MI0005524	24	chrX	146027794	146027872	-	-
hsa-mir-300	MI0005525	0	chr14	101041363	101041445	+	-
hsa-mir-892a	MI0005528	4	chrX	145996669	145996743	-	-
hsa-mir-509-2	MI0005530	1214	chrX	147258760	147258850	-	High
hsa-mir-450b	MI0005531	157	chrX	134540185	134540262	-	High
hsa-mir-874	MI0005532	152	chr5	137647572	137647649	-	High
hsa-mir-890	MI0005533	7	chrX	145994275	145994351	-	-
hsa-mir-891b	MI0005534	4	chrX	146001053	146001131	-	-
hsa-mir-888	MI0005537	3624	chrX	145994784	145994860	-	High
hsa-mir-892b	MI0005538	4	chrX	145997198	145997274	-	-
hsa-mir-541	MI0005539	30	chr14	101064495	101064578	+	High
hsa-mir-889	MI0005540	80	chr14	101047901	101047979	+	High
hsa-mir-875	MI0005541	16	chr8	99536786	99536861	-	-
hsa-mir-876	MI0005542	93	chr9	28863626	28863706	-	High
hsa-mir-708	MI0005543	475	chr11	79402022	79402109	-	High
hsa-mir-147b	MI0005544	208	chr15	45433050	45433129	+	High
hsa-mir-190b	MI0005545	65	chr1	154193665	154193743	-	-
hsa-mir-744	MI0005559	697	chr17	12081899	12081996	+	High
hsa-mir-885	MI0005560	59	chr3	10394489	10394562	-	High
hsa-mir-877	MI0005561	170	chr6	30584332	30584417	+	High
hsa-mir-887	MI0005562	78	chr5	15935182	15935260	+	High
hsa-mir-665	MI0005563	26	chr14	100875033	100875104	+	-
hsa-mir-873	MI0005564	152	chr9	28888879	28888955	-	High
hsa-mir-543	MI0005565	71	chr14	101031987	101032064	+	-
hsa-mir-374b	MI0005566	1430	chrX	74218547	74218618	-	High
hsa-mir-760	MI0005567	305	chr1	93846832	93846911	+	High
hsa-mir-301b	MI0005568	581	chr22	21652981	21653058	+	High
hsa-mir-216b	MI0005569	39	chr2	56000714	56000795	-	-
hsa-mir-208b	MI0005570	312	chr14	23417987	23418063	-	High
hsa-mir-920	MI0005712	0	chr12	24212421	24212495	+	-
hsa-mir-921	MI0005713	0	chr1	166154743	166154798	-	-
hsa-mir-922	MI0005714	1	chr3	197674496	197674576	-	-
hsa-mir-924	MI0005716	0	chr18	39622123	39622175	-	-
hsa-mir-509-3	MI0005717	1574	chrX	147259652	147259726	-	High
hsa-mir-933	MI0005755	44	chr2	175167633	175167709	-	-
hsa-mir-934	MI0005756	11	chrX	136550878	136550960	+	-
hsa-mir-935	MI0005757	104	chr19	53982307	53982397	+	-
hsa-mir-936	MI0005758	1	chr10	104048089	104048186	-	-
hsa-mir-937	MI0005759	23	chr8	143812957	143813042	-	High
hsa-mir-938	MI0005760	5	chr10	29602264	29602346	-	-
hsa-mir-939	MI0005761	30	chr8	144394149	144394230	-	-
hsa-mir-940	MI0005762	104	chr16	2271747	         2271840	+	-
hsa-mir-941-1	MI0005763	247	chr20	63919449	63919520	+	High
hsa-mir-941-2	MI0005764	247	chr20	63919505	63919576	+	High
hsa-mir-941-3	MI0005765	247	chr20	63919561	63919632	+	High
hsa-mir-941-4	MI0005766	247	chr20	63919756	63919827	+	High
hsa-mir-942	MI0005767	124	chr1	117094643	117094728	+	High
hsa-mir-943	MI0005768	4	chr4	1986384	         1986477	-	-
hsa-mir-944	MI0005769	309	chr3	189829922	189830009	+	-
hsa-mir-297	MI0005775	5	chr4	110860582	110860647	-	-
hsa-mir-1178	MI0006271	7	chr12	119713634	119713724	-	-
hsa-mir-1179	MI0006272	25	chr15	88608107	88608197	+	-
hsa-mir-1180	MI0006273	215	chr17	19344506	19344574	-	High
hsa-mir-1181	MI0006274	32	chr19	10403458	10403538	-	-
hsa-mir-1182	MI0006275	7	chr1	231019828	231019924	-	-
hsa-mir-1183	MI0006276	0	chr7	21471058	21471146	+	-
hsa-mir-1184-1	MI0006277	1	chrX	154887360	154887458	-	-
hsa-mir-1225	MI0006311	3	chr16	2090195	          2090284	-	-
hsa-mir-1226	MI0006313	47	chr3	47849555	47849629	+	-
hsa-mir-1227	MI0006316	4	chr19	2234062 	2234149	-	-
hsa-mir-1228	MI0006318	55	chr12	57194504	57194576	+	-
hsa-mir-1229	MI0006319	60	chr5	179798278	179798346	-	-
hsa-mir-1231	MI0006321	1	chr1	201808611	201808702	+	-
hsa-mir-1233-1	MI0006323	7	chr15	34382069	34382150	-	-
hsa-mir-1234	MI0006324	42	chr8	144400086	144400165	-	-
hsa-mir-1236	MI0006326	26	chr6	31956839	31956940	-	-
hsa-mir-1237	MI0006327	7	chr11	64368602	64368703	+	-
hsa-mir-1238	MI0006328	0	chr19	10552122	10552204	+	-
hsa-mir-1200	MI0006332	6	chr7	36919357	36919432	-	-
hsa-mir-1202	MI0006334	2	chr6	155946797	155946879	+	-
hsa-mir-1203	MI0006335	0	chr17	48156427	48156511	-	-
hsa-mir-663b	MI0006336	74	chr2	132256966	132257080	-	-
hsa-mir-1204	MI0006337	0	chr8	127795962	127796028	+	-
hsa-mir-1205	MI0006338	0	chr8	127960633	127960695	+	-
hsa-mir-1206	MI0006339	0	chr8	128008898	128008956	+	-
hsa-mir-1207	MI0006340	0	chr8	128049152	128049238	+	-
hsa-mir-1208	MI0006341	1	chr8	128150116	128150188	+	-
hsa-mir-548e	MI0006344	151	chr10	110988926	110989013	+	High
hsa-mir-548j	MI0006345	35	chr22	26555212	26555323	-	High
hsa-mir-1285-1	MI0006346	6840	chr7	92204015	92204098	-	-
hsa-mir-1285-2	MI0006347	215	chr2	70252918	70253005	-	-
hsa-mir-1286	MI0006348	31	chr22	20249134	20249211	-	-
hsa-mir-1287	MI0006349	76	chr10	98395218	98395307	-	High
hsa-mir-1289-1	MI0006350	9	chr20	35453954	35454097	-	-
hsa-mir-1289-2	MI0006351	2	chr5	133427596	133427706	-	-
hsa-mir-1290	MI0006352	373	chr1	18897071	18897148	-	-
hsa-mir-1291	MI0006353	203	chr12	48654444	48654530	-	-
hsa-mir-548k	MI0006354	129	chr11	70283955	70284070	+	-
hsa-mir-1293	MI0006355	164	chr12	50234142	50234212	-	-
hsa-mir-1294	MI0006356	34	chr5	154347106	154347247	+	-
hsa-mir-1295a	MI0006357	19	chr1	171101728	171101806	-	-
hsa-mir-1297	MI0006358	1	chr13	54311972	54312048	-	-
hsa-mir-1299	MI0006359	43	chr9	40929010	40929092	-	-
hsa-mir-548l	MI0006361	58	chr11	94466495	94466580	-	-
hsa-mir-1302-1	MI0006362	8	chr12	112695034	112695176	-	-
hsa-mir-1302-2	MI0006363	9	chr1	30366              30503	+	-
hsa-mir-1302-3	MI0006364	9	chr2	113582959	113583096	-	-
hsa-mir-1302-4	MI0006365	8	chr2	207269275	207269424	-	-
hsa-mir-1302-5	MI0006366	10	chr20	50614636	50614785	-	-
hsa-mir-1302-6	MI0006367	8	chr7	18127220	18127309	-	-
hsa-mir-1302-7	MI0006368	8	chr8	141786242	141786313	-	-
hsa-mir-1302-8	MI0006369	8	chr9	97363554	97363681	-	-
hsa-mir-1303	MI0006370	760	chr5	154685776	154685861	+	-
hsa-mir-1304	MI0006371	493	chr11	93733674	93733764	-	High
hsa-mir-1305	MI0006372	32	chr4	182169293	182169378	+	-
hsa-mir-1243	MI0006373	31	chr4	113106863	113106955	+	-
hsa-mir-548f-1	MI0006374	38	chr10	54607874	54607957	-	-
hsa-mir-548f-2	MI0006375	30	chr2	212426263	212426360	-	-
hsa-mir-548f-3	MI0006376	17	chr5	110513829	110513915	-	-
hsa-mir-548f-4	MI0006377	41	chr7	147378017	147378121	-	-
hsa-mir-548f-5	MI0006378	11	chrX	32641474	32641559	-	-
hsa-mir-1244-1	MI0006379	16	chr2	231713314	231713398	+	-
hsa-mir-1245a	MI0006380	29	chr2	188978092	188978161	+	High
hsa-mir-1246	MI0006381	1903	chr2	176600980	176601052	-	-
hsa-mir-1247	MI0006382	203	chr14	101560287	101560422	-	High
hsa-mir-1248	MI0006383	198	chr3	186786672	186786777	+	-
hsa-mir-1249	MI0006384	67	chr22	45200954	45201019	-	High
hsa-mir-1250	MI0006385	16	chr17	81133196	81133308	-	-
hsa-mir-1251	MI0006386	12	chr12	97491909	97491978	+	-
hsa-mir-1253	MI0006387	1	chr17	2748078	         2748182	-	-
hsa-mir-1255a	MI0006389	74	chr4	101330302	101330414	-	-
hsa-mir-1256	MI0006390	59	chr1	20988314	20988432	-	-
hsa-mir-1257	MI0006391	17	chr20	61953546	61953662	-	-
hsa-mir-1258	MI0006392	32	chr2	179860836	179860908	-	-
hsa-mir-1260a	MI0006394	892	chr14	77266218	77266290	+	-
hsa-mir-548g	MI0006395	43	chr4	147344629	147344717	-	High
hsa-mir-1261	MI0006396	1	chr11	90869121	90869202	-	-
hsa-mir-1262	MI0006397	35	chr1	68183518	68183610	-	-
hsa-mir-1263	MI0006398	0	chr3	164171471	164171556	-	-
hsa-mir-548n	MI0006399	108	chr7	34940760	34940834	-	-
hsa-mir-548m	MI0006400	6	chrX	95063141	95063226	-	-
hsa-mir-1265	MI0006401	1	chr10	14436576	14436661	+	-
hsa-mir-548o	MI0006402	47	chr7	102405742	102405855	-	-
hsa-mir-1266	MI0006403	14	chr15	52277117	52277200	-	-
hsa-mir-1267	MI0006404	11	chr13	107531171	107531248	-	-
hsa-mir-1268a	MI0006405	180	chr15	22225278	22225329	-	-
hsa-mir-1269a	MI0006406	517	chr4	66276824	66276928	+	-
hsa-mir-1270	MI0006407	28	chr19	20399272	20399354	-	-
hsa-mir-1272	MI0006408	22	chr15	64762387	64762515	-	-
hsa-mir-548h-1	MI0006411	50	chr14	64095024	64095125	-	-
hsa-mir-548h-2	MI0006412	98	chr16	11306440	11306527	-	-
hsa-mir-548h-3	MI0006413	130	chr17	13543529	13543646	-	-
hsa-mir-548h-4	MI0006414	118	chr8	27048853	27048963	-	High
hsa-mir-1275	MI0006415	359	chr6	33999972	34000051	-	-
hsa-mir-1276	MI0006416	29	chr15	85770496	85770578	-	High
hsa-mir-302e	MI0006417	0	chr11	7234766	         7234837	+	-
hsa-mir-302f	MI0006418	0	chr18	30298910	30298960	+	-
hsa-mir-1277	MI0006419	267	chrX	118386394	118386471	+	High
hsa-mir-548p	MI0006420	31	chr5	100816482	100816565	-	-
hsa-mir-548i-1	MI0006421	100	chr3	125790404	125790552	-	-
hsa-mir-548i-2	MI0006422	39	chr4	9556168	         9556316	-	-
hsa-mir-548i-3	MI0006423	38	chr8	8088941	         8089089	-	-
hsa-mir-548i-4	MI0006424	95	chrX	84225752	84225828	-	-
hsa-mir-1278	MI0006425	29	chr1	193136503	193136583	+	-
hsa-mir-1279	MI0006426	0	chr12	69273157	69273218	-	-
hsa-mir-1281	MI0006428	5	chr22	41092513	41092566	+	-
hsa-mir-1282	MI0006429	0	chr15	43793659	43793759	-	-
hsa-mir-1283-2	MI0006430	988	chr19	53758232	53758318	+	-
hsa-mir-1284	MI0006431	42	chr3	71541970	71542089	-	-
hsa-mir-1288	MI0006432	14	chr17	16282014	16282088	+	-
hsa-mir-1292	MI0006433	44	chr20	2652777	         2652842	+	-
hsa-mir-1252	MI0006434	32	chr12	79419257	79419321	+	High
hsa-mir-1255b-1	MI0006435	35	chr4	36426366	36426428	-	-
hsa-mir-1255b-2	MI0006436	32	chr1	167998660	167998726	+	-
hsa-mir-664a	MI0006442	294	chr1	220200538	220200619	-	High
hsa-mir-1306	MI0006443	100	chr22	20086058	20086142	+	High
hsa-mir-1307	MI0006444	639	chr10	103394253	103394401	-	High
hsa-mir-513b	MI0006648	74	chrX	147199044	147199127	-	High
hsa-mir-513c	MI0006649	160	chrX	147189704	147189787	-	High
hsa-mir-1321	MI0006652	0	chrX	85835780	85835858	+	-
hsa-mir-1322	MI0006653	7	chr8	10825373	10825443	-	-
hsa-mir-1197	MI0006656	14	chr14	101025564	101025651	+	-
hsa-mir-1324	MI0006657	10	chr3	75630763	75630858	+	-
hsa-mir-1469	MI0007074	0	chr15	96333261	96333307	+	-
hsa-mir-1470	MI0007075	0	chr19	15449548	15449608	+	-
hsa-mir-1471	MI0007076	0	chr2	231892242	231892298	-	-
hsa-mir-1537	MI0007258	146	chr1	235853000	235853060	-	High
hsa-mir-1538	MI0007259	13	chr16	69565808	69565868	-	-
hsa-mir-1539	MI0007260	0	chr18	49487373	49487422	+	-
hsa-mir-103b-1	MI0007261	0	chr5	168560904	168560965	+	-
hsa-mir-103b-2	MI0007262	0	chr20	3917502	         3917563	-	-
hsa-mir-320d-1	MI0008190	603	chr13	40727816	40727887	-	-
hsa-mir-320c-2	MI0008191	2364	chr18	24321675	24321746	+	-
hsa-mir-320d-2	MI0008192	623	chrX	140926160	140926231	-	-
hsa-mir-1825	MI0008193	0	chr20	32237795	32237847	+	-
hsa-mir-1827	MI0008195	2	chr12	100189884	100189949	+	-
hsa-mir-1908	MI0008329	79	chr11	61815161	61815240	-	-
hsa-mir-1909	MI0008330	29	chr19	1816159	         1816238	-	-
hsa-mir-1910	MI0008331	26	chr16	85741621	85741700	-	High
hsa-mir-1911	MI0008332	7	chrX	114763184	114763263	+	-
hsa-mir-1912	MI0008333	52	chrX	114651544	114651623	+	High
hsa-mir-1913	MI0008334	8	chr6	166509354	166509433	-	-
hsa-mir-1914	MI0008335	21	chr20	63941465	63941544	-	High
hsa-mir-1915	MI0008336	14	chr10	21496562	21496641	-	-
hsa-mir-1972-1	MI0009982	174	chr16	15010321	15010397	-	-
hsa-mir-1976	MI0009986	61	chr1	26554542	26554593	+	-
hsa-mir-2052	MI0010486	-	chr8	74705693	74705747	+	-
hsa-mir-2053	MI0010487	-	chr8	112643493	112643583	+	-
hsa-mir-2054	MI0010488	0	chr4	125507259	125507307	+	-
hsa-mir-2110	MI0010629	137	chr10	114174105	114174179	-	High
hsa-mir-2114	MI0010633	36	chrX	150228004	150228083	+	High
hsa-mir-2115	MI0010634	17	chr3	48316360	48316459	-	High
hsa-mir-2116	MI0010635	25	chr15	59171183	59171262	-	High
hsa-mir-2117	MI0010636	0	chr17	43444806	43444885	+	-
hsa-mir-548q	MI0010637	17	chr10	12725254	12725353	-	-
hsa-mir-2276	MI0011282	10	chr13	24162416	24162504	+	High
hsa-mir-2277	MI0011284	52	chr5	93620696	93620788	-	High
hsa-mir-2278	MI0011285	25	chr9	94809962	94810057	+	-
hsa-mir-2681	MI0012062	8	chr13	101967642	101967746	-	High
hsa-mir-2682	MI0012063	23	chr1	98045242	98045351	-	-
hsa-mir-711	MI0012488	2	chr3	48578902	48578977	-	-
hsa-mir-718	MI0012489	0	chrX	154019920	154019989	-	-
hsa-mir-2861	MI0013006	3	chr9	127785918	127786007	+	-
hsa-mir-2909	MI0013083	0	chr17	37033745	37033813	+	-
hsa-mir-3115	MI0014127	12	chr1	23044305	23044372	+	-
hsa-mir-3116-1	MI0014128	8	chr1	62078786	62078859	+	-
hsa-mir-3116-2	MI0014129	8	chr1	62078789	62078856	-	-
hsa-mir-3117	MI0014130	24	chr1	66628440	66628517	+	-
hsa-mir-3118-1	MI0014131	3	chr21	13644775	13644850	-	-
hsa-mir-3118-2	MI0014132	3	chr15	20832795	20832869	+	-
hsa-mir-3118-3	MI0014133	3	chr15	21406385	21406459	+	-
hsa-mir-3119-1	MI0014134	4	chr1	170151378	170151462	-	-
hsa-mir-3119-2	MI0014135	6	chr1	170151378	170151462	+	-
hsa-mir-3120	MI0014136	35	chr1	172138808	172138888	+	-
hsa-mir-3121	MI0014137	7	chr1	180438314	180438390	-	-
hsa-mir-3122	MI0014138	5	chr1	212077613	212077685	+	-
hsa-mir-3123	MI0014139	33	chr1	241132272	241132346	+	-
hsa-mir-3124	MI0014140	14	chr1	248826377	248826443	+	-
hsa-mir-548s	MI0014141	36	chr2	11767444	11767525	+	-
hsa-mir-3125	MI0014142	7	chr2	12737367	12737444	+	-
hsa-mir-3126	MI0014143	18	chr2	69103682	69103755	+	High
hsa-mir-3127	MI0014144	23	chr2	96798278	96798353	+	High
hsa-mir-3128	MI0014145	13	chr2	177255945	177256010	-	-
hsa-mir-3129	MI0014146	36	chr2	189133036	189133111	-	-
hsa-mir-3130-1	MI0014147	118	chr2	206783234	206783308	-	High
hsa-mir-3130-2	MI0014148	126	chr2	206783234	206783308	+	High
hsa-mir-3131	MI0014151	12	chr2	219058688	219058750	-	-
hsa-mir-3132	MI0014152	9	chr2	219549073	219549147	-	-
hsa-mir-3133	MI0014153	26	chr2	241477905	241477982	+	-
hsa-mir-378b	MI0014154	37	chr3	10330229	10330285	+	-
hsa-mir-3134	MI0014155	221	chr3	15697298	15697371	-	-
hsa-mir-3135a	MI0014156	1516	chr3	20137565	20137641	+	-
hsa-mir-466	MI0014157	26	chr3	31161704	31161787	-	-
hsa-mir-3136	MI0014158	13	chr3	69048958	69049035	-	-
hsa-mir-544b	MI0014159	7	chr3	124732439	124732516	+	-
hsa-mir-3137	MI0014160	6	chr3	195134506	195134580	-	-
hsa-mir-3138	MI0014161	31	chr4	10078611	10078692	-	-
hsa-mir-3139	MI0014162	8	chr4	143343460	143343535	+	-
hsa-mir-3140	MI0014163	35	chr4	152489327	152489416	-	High
hsa-mir-548t	MI0014164	104	chr4	173268160	173268233	+	-
hsa-mir-3141	MI0014165	12	chr5	154596012	154596072	-	-
hsa-mir-3142	MI0014166	5	chr5	160474402	160474483	+	-
hsa-mir-3143	MI0014167	26	chr6	27147626	27147688	+	-
hsa-mir-548u	MI0014168	33	chr6	57390132	57390212	+	-
hsa-mir-3144	MI0014169	34	chr6	120015179	120015257	+	High
hsa-mir-3145	MI0014170	19	chr6	138435213	138435294	-	High
hsa-mir-1273c	MI0014171	576	chr6	154853360	154853436	+	-
hsa-mir-3146	MI0014172	12	chr7	19705358	19705436	-	-
hsa-mir-3147	MI0014173	52	chr7	57405025	57405090	+	-
hsa-mir-548v	MI0014174	74	chr8	17681578	17681657	-	-
hsa-mir-3148	MI0014175	4	chr8	29957272	29957348	-	-
hsa-mir-3149	MI0014176	136	chr8	76966768	76966850	-	-
hsa-mir-3150a	MI0014177	28	chr8	95072914	95072993	+	-
hsa-mir-3151	MI0014178	13	chr8	103154614	103154689	+	-
hsa-mir-3152	MI0014179	8	chr9	18573306	18573379	+	-
hsa-mir-3153	MI0014180	9	chr9	89312225	89312306	+	-
hsa-mir-3074	MI0014181	38	chr9	95086014	95086094	-	-
hsa-mir-3154	MI0014182	56	chr9	128244947	128245030	-	-
hsa-mir-3155a	MI0014183	23	chr10	6152196	         6152277	+	-
hsa-mir-3156-1	MI0014184	9	chr10	45164014	45164088	+	-
hsa-mir-3157	MI0014185	35	chr10	96064315	96064399	-	High
hsa-mir-3158-1	MI0014186	99	chr10	101601417	101601497	+	High
hsa-mir-3158-2	MI0014187	97	chr10	101601417	101601497	-	High
hsa-mir-3159	MI0014188	2549	chr11	18387787	18387860	+	Low
hsa-mir-3160-1	MI0014189	18	chr11	46451805	46451889	-	-
hsa-mir-3160-2	MI0014190	18	chr11	46451807	46451887	+	-
hsa-mir-3161	MI0014191	8	chr11	48096782	48096858	+	-
hsa-mir-3162	MI0014192	13	chr11	59595077	59595158	-	-
hsa-mir-3163	MI0014193	6	chr11	66934434	66934506	-	-
hsa-mir-3164	MI0014194	15	chr11	69083176	69083258	+	-
hsa-mir-3165	MI0014195	70	chr11	72072228	72072302	-	-
hsa-mir-3166	MI0014196	20	chr11	88176502	88176593	+	-
hsa-mir-1260b	MI0014197	91	chr11	96341438	96341526	+	-
hsa-mir-3167	MI0014198	5	chr11	126988458	126988542	-	-
hsa-mir-3168	MI0014199	6	chr13	41101019	41101100	-	-
hsa-mir-3169	MI0014200	6	chr13	61199798	61199880	-	-
hsa-mir-3170	MI0014201	6	chr13	98208524	98208600	+	-
hsa-mir-3171	MI0014202	11	chr14	27633205	27633278	-	-
hsa-mir-3173	MI0014204	473	chr14	95137919	95137986	-	High
hsa-mir-1193	MI0014205	4	chr14	101030052	101030129	+	-
hsa-mir-323b	MI0014206	21	chr14	101056219	101056300	+	High
hsa-mir-3118-4	MI0014207	3	chr15	21843750	21843824	+	-
hsa-mir-3174	MI0014208	23	chr15	90006755	90006841	+	-
hsa-mir-3175	MI0014209	10	chr15	92904399	92904475	+	-
hsa-mir-3176	MI0014210	43	chr16	543277	          543366	+	-
hsa-mir-3177	MI0014211	34	chr16	1734985	         1735066	+	High
hsa-mir-3178	MI0014212	46	chr16	2531922	         2532005	-	-
hsa-mir-3179-1	MI0014213	25	chr16	14901508	14901591	+	-
hsa-mir-3180-1	MI0014214	123	chr16	14911220	14911313	+	High
hsa-mir-3180-2	MI0014215	123	chr16	16309879	16309966	+	High
hsa-mir-3179-2	MI0014216	25	chr16	16300159	16300242	+	-
hsa-mir-3180-3	MI0014217	123	chr16	18402178	18402271	-	High
hsa-mir-3179-3	MI0014221	25	chr16	18411894	18411977	-	-
hsa-mir-548w	MI0014222	94	chr16	26025237	26025310	+	-
hsa-mir-3181	MI0014223	9	chr16	50742305	50742377	+	-
hsa-mir-3182	MI0014224	59	chr16	83508346	83508408	+	-
hsa-mir-3183	MI0014225	7	chr17	1022476	         1022559	-	-
hsa-mir-3184	MI0014226	18	chr17	30117086	30117160	-	-
hsa-mir-3185	MI0014227	8	chr17	48724408	48724475	-	-
hsa-mir-3065	MI0014228	224	chr17	81125877	81125955	+	High
hsa-mir-3186	MI0014229	15	chr17	81451104	81451188	-	-
hsa-mir-3156-2	MI0014230	9	chr18	14830166	14830242	+	-
hsa-mir-3187	MI0014231	26	chr19	813584	          813653	+	High
hsa-mir-3188	MI0014232	36	chr19	18282077	18282161	+	-
hsa-mir-3189	MI0014233	12	chr19	18386562	18386634	+	High
hsa-mir-320e	MI0014234	155	chr19	46709282	46709354	-	-
hsa-mir-3190	MI0014235	33	chr19	47226942	47227021	+	-
hsa-mir-3191	MI0014236	8	chr19	47226944	47227019	-	-
hsa-mir-3192	MI0014237	11	chr20	18470615	18470691	+	-
hsa-mir-3193	MI0014238	7	chr20	31607186	31607240	+	-
hsa-mir-3194	MI0014239	17	chr20	51452905	51452977	-	High
hsa-mir-3195	MI0014240	15	chr20	62064802	62064885	+	-
